1,Allan,Zhu,82 (2) 2553 7713,852 9374 7713,allan_zhu@lamborghini.com,104
2,Bibin,Khail,702 44114411,974 64174841,bkhalil@lamborghini.com,102
3,Ameeshi,Goel,888 294 1133,310 384 3843,lobogo@lamborghini.com,101
4,Abbey,Mui,82 (2) 2553 7713,852 9384 3334,cofee@lamborghini.com,104
5,Minji,Kim,82 (2) 2553 7713,852 8986 5476,m_kim@lamborghini.com,104
6,Kelly,Mazur,888 294 1133,310 837 2039,kmazur@lamborghini.com,101
7,Nadia,Howe,702 44114411,974 93843439,nhowe@lamborghini.com,102
8,Steve,Collepay,888 294 1133,310 823 3402,salepro@lamborghini.com,101
9,Sebastian,Craig,39 (0)30 8866 7888,39 (0)30 8866 1254,sc@lamborghini.com,100
10,Tiffany,Chen,39 (0)30 8866 7888,39 (0)30 4356 9384,design@lamborghini.com,100
11,Veronika,Wagner,39 (0)30 8866 7888,39 (0)30 3947 3984,vw@lamborghini.com,100
